176601,Black Mirror (2011),(no genres listed)
176621,Boniface's Holiday (1965),Animation|Children|Comedy|Romance
176751,American Made (2017),Crime|Thriller
176805,Little Boxes (2017),Comedy|Drama
176935,Geostorm (2017),Action
177185,Maz Jobrani: Immigrant (2017),Comedy
177285,Sword Art Online The Movie: Ordinal Scale (2017),Action|Adventure|Animation|Fantasy|Sci-Fi
177593,"Three Billboards Outside Ebbing, Missouri (2017)",Crime|Drama
177615,Lady Bird (2017),Comedy
177763,Murder on the Orient Express (2017),Crime|Drama|Mystery
177765,Coco (2017),Adventure|Animation|Children
177939,"The Night Is Short, Walk on Girl (2017)",Animation|Romance
178061,"I, Tonya (2017)",Drama
178111,"Fireworks, Should We See It from the Side or the Bottom? (2017)",Animation
178129,Adventures in Plymptoons! (2011),Documentary
178323,Gaga: Five Foot Two (2017),Documentary
178613,Dave Chappelle: Killin' Them Softly (2000),Comedy
178615,Front Cover (2016),Comedy|Drama|Romance
178827,Paddington 2 (2017),Adventure|Animation|Children|Comedy
179053,2048: Nowhere to Run (2017),Sci-Fi|Thriller
179073,Male Hunt (1964),Comedy
179119,The Death of Stalin (2017),Comedy
179133,Loving Vincent (2017),Animation|Crime|Drama
179135,Blue Planet II (2017),Documentary
179211,Christina P: Mother Inferior (2017),Comedy
179401,Jumanji: Welcome to the Jungle (2017),Action|Adventure|Children
179427,Dane Cook: Troublemaker (2014),Comedy
179491,Mayhem (2017),Action|Horror
179511,Emerald Green (2016),Adventure|Drama|Fantasy|Romance
179709,Wonder Wheel (2017),Drama
179749,Creep 2 (2017),Comedy|Horror
179813,LBJ (2017),Drama
179815,"Roman J. Israel, Esq. (2017)",Drama|Thriller
179817,Darkest Hour (2017),Drama|War
179819,Star Wars: The Last Jedi (2017),Action|Adventure|Fantasy|Sci-Fi
179953,A Bad Moms Christmas (2017),Comedy
180031,The Shape of Water (2017),Adventure|Drama|Fantasy
180045,Molly's Game (2017),Drama
180095,Wonder (2017),Drama
180231,Daddy's Home 2 (2017),Comedy|Drama
180263,The Shining (1997),Drama|Horror|Thriller
180265,Jim & Andy: The Great Beyond (2017),Documentary
180297,The Disaster Artist (2017),Comedy|Drama
180497,The Post (2017),Drama|Thriller
180777,Die Frauen von Ravensbrück (2005),Documentary
180985,The Greatest Showman (2017),Drama
180987,Ferdinand (2017),Animation|Children|Comedy
181065,Jack Whitehall: At Large (2017),Comedy
181139,Lynne Koplitz: Hormonal Beast (2017),Comedy
181315,Phantom Thread (2017),Drama|Romance
181413,Too Funny to Fail: The Life and Death of The Dana Carvey Show (2017),(no genres listed)
181659,Craig Ferguson: Tickle Fight (2017),Comedy
181719,Serving in Silence: The Margarethe Cammermeyer Story (1995),(no genres listed)
182293,Hare-um Scare-um (1939),Animation|Children|Comedy
182297,Porky in Wackyland (1938),Animation|Comedy|Fantasy
182299,Porky's Hare Hunt (1938),Animation|Children|Comedy
182639,The Second Renaissance Part II (2003),Animation|Sci-Fi
182715,Annihilation (2018),Adventure|Mystery|Sci-Fi|Thriller
182727,A Christmas Story Live! (2017),(no genres listed)
182731,Pixel Perfect (2004),Children|Comedy|Sci-Fi
182749,Judd Apatow: The Return (2017),Comedy
182793,The Purple Sea (2009),Drama
182823,Bright (2017),Action|Crime|Fantasy
183011,The Commuter (2018),Crime|Drama|Mystery|Thriller
183197,Dave Chappelle: Equanimity (2017),Comedy
183199,Quest (2017),Documentary
183227,Dave Chappelle: The Bird Revelation (2017),Comedy
183295,Insidious: The Last Key (2018),Horror|Mystery|Thriller
183301,The Tale of the Bunny Picnic (1986),Children
183317,Patti Rocks (1988),Comedy|Drama
183611,Game Night (2018),Action|Comedy|Crime|Horror
183635,Maze Runner: The Death Cure (2018),Action|Mystery|Sci-Fi|Thriller
183897,Isle of Dogs (2018),Animation|Comedy
183911,The Clapper (2018),Comedy
183959,Tom Segura: Disgraceful (2018),Comedy
184015,When We First Met (2018),Comedy
184053,Battle Planet (2008),Action|Sci-Fi
184245,De platte jungle (1978),Documentary
184253,The Cloverfield Paradox (2018),Horror|Mystery|Sci-Fi|Thriller
184257,Making a Murderer (2015),Crime|Documentary
184349,Elsa & Fred (2005),Comedy|Drama|Romance
184471,Tomb Raider (2018),Action|Adventure|Fantasy
184641,Fullmetal Alchemist 2018 (2017),Action|Adventure|Fantasy
184721,First Reformed (2017),Drama|Thriller
184791,Fred Armisen: Standup for Drummers (2018),Comedy
184931,Death Wish (2018),Action|Crime|Drama|Thriller
184987,A Wrinkle in Time (2018),Adventure|Children|Fantasy|Sci-Fi
184997,"Love, Simon (2018)",Comedy|Drama
185029,A Quiet Place (2018),Drama|Horror|Thriller
185031,Alpha (2018),Adventure|Thriller
185033,I Kill Giants (2018),Drama|Fantasy|Thriller
185135,Sherlock - A Study in Pink (2010),Crime
185435,"Game Over, Man! (2018)",Action|Comedy
185473,Blockers (2018),Comedy
185585,Pacific Rim: Uprising (2018),Action|Fantasy|Sci-Fi
186587,Rampage (2018),Action|Adventure|Sci-Fi
187031,Jurassic World: Fallen Kingdom (2018),Action|Adventure|Drama|Sci-Fi|Thriller
187541,Incredibles 2 (2018),Action|Adventure|Animation|Children
187593,Deadpool 2 (2018),Action|Comedy|Sci-Fi
187595,Solo: A Star Wars Story (2018),Action|Adventure|Children|Sci-Fi
187717,Won't You Be My Neighbor? (2018),Documentary
188189,Sorry to Bother You (2018),Comedy|Fantasy|Sci-Fi
188301,Ant-Man and the Wasp (2018),Action|Adventure|Comedy|Fantasy|Sci-Fi
188675,Dogman (2018),Crime|Drama
188751,Mamma Mia: Here We Go Again! (2018),Comedy|Romance
188797,Tag (2018),Comedy
188833,The Man Who Killed Don Quixote (2018),Adventure|Comedy|Fantasy
189043,Boundaries (2018),Comedy|Drama
189111,Spiral (2018),Documentary
189333,Mission: Impossible - Fallout (2018),Action|Adventure|Thriller
189381,SuperFly (2018),Action|Crime|Thriller
189547,Iron Soldier (2010),Action|Sci-Fi
189713,BlacKkKlansman (2018),Comedy|Crime|Drama
190183,The Darkest Minds (2018),Sci-Fi|Thriller
190207,Tilt (2011),Drama|Romance
190209,Jeff Ross Roasts the Border (2017),Comedy
190213,John From (2015),Drama
190215,Liquid Truth (2017),Drama
190219,Bunny (1998),Animation
190221,Hommage à Zgougou (et salut à Sabine Mamou) (2002),Documentary
191005,Gintama (2017),Action|Adventure|Comedy|Sci-Fi
193565,Gintama: The Movie (2010),Action|Animation|Comedy|Sci-Fi
193567,anohana: The Flower We Saw That Day - The Movie (2013),Animation|Drama
193571,Silver Spoon (2014),Comedy|Drama
193573,Love Live! The School Idol Movie (2015),Animation
193579,Jon Stewart Has Left the Building (2015),Documentary
193581,Black Butler: Book of the Atlantic (2017),Action|Animation|Comedy|Fantasy
193583,No Game No Life: Zero (2017),Animation|Comedy|Fantasy
193585,Flint (2017),Drama
193587,Bungo Stray Dogs: Dead Apple (2018),Action|Animation
193609,Andrew Dice Clay: Dice Rules (1991),Comedy
